,index,symbol,current_status,batch_number,batch_dateopen,batch_dateclosed,batch_lot,qty_buys,qty_sells,qty_net,amount_buys,amount_sells,amount_net,CB_batch,CB_effective,SB_avg,p&l_batch,p&l ticker
114,NET_1,NET,Inactive,1,5/4/2021,10/27/2021,2,1.41806,1.4180599999999999,2.1510571102112408e-16,129.5,214.5,-85.0,91.32192996065046,-3299.750174059028,151.26285690309297,84.99983085999999,84.99983085999999
115,NET_2,NET,Inactive,2,11/22/2021,4/1/2022,6,2.2415619999999996,2.241562,-3.885780586188048e-16,340.0,261.83000000000004,78.16999999999999,145.93507913191536,447.9595300585364,116.80723099338765,-78.17201914000003,6.827811719999958
116,NFLX_1,NFLX,Inactive,1,10/28/2021,11/5/2021,1,0.147896,0.147896,0.0,100.0,99.41,0.5900000000000034,676.15,670.9428088349748,672.1635488451345,-0.5895801799999947,-0.5895801799999947
117,NVDA_1,NVDA,Inactive,1,10/21/2021,4/12/2022,8,2.0570250000000003,2.057025,5.551115123125783e-17,525.0,501.42,23.579999999999984,261.29869878578916,270.46547390019015,243.75985677860018,-23.577823540000043,-23.577823540000043
118,NVEE_1,NVEE,Inactive,1,10/28/2021,3/9/2022,3,1.3923400000000001,1.39234,1.1102230246251565e-16,150.0,173.65,-23.650000000000006,107.73196482181075,64.48488555844418,124.71690707729435,23.64881450000003,23.64881450000003
119,NVO_1,NVO,Inactive,1,4/19/2022,4/28/2022,2,2.0,2.0,0.0,226.59,215.92,10.670000000000016,113.295,113.295,107.96,-10.670000000000016,-10.670000000000016
120,NVR_1,NVR,Inactive,1,5/21/2021,10/26/2021,1,0.021422,0.021422,0.0,100.0,104.75,-4.75,4668.1,4668.1,4889.83,4.749900059999991,4.749900059999991
121,OKTA_1,OKTA,Inactive,1,1/6/2022,3/22/2022,2,0.261151,0.261151,0.0,55.0,42.77,12.229999999999997,210.60546503746872,210.6061244260983,163.77,-12.231128529999992,-12.231128529999992
122,OM_1,OM,Inactive,1,12/17/2021,3/22/2022,2,1.123656,1.123656,-1.3877787807814457e-17,50.0,47.589999999999996,2.410000000000001,44.49755302334522,60.894740247137236,42.35334921007853,-2.409347479999997,-2.409347479999997
123,OXY_1,OXY,Inactive,1,4/11/2022,4/12/2022,1,1.0,1.0,0.0,58.18,59.5,-1.3200000000000003,58.18,58.18,59.5,1.3200000000000003,1.3200000000000003
124,PAC_1,PAC,Inactive,1,5/25/2021,10/27/2021,3,1.048605,1.048605,0.0,116.89,132.36,-15.470000000000013,111.47178865254314,111.47190791575474,126.22000000000001,15.46504816,15.46504816
125,PAC_2,PAC,Inactive,2,12/6/2021,3/25/2022,2,1.417388,1.4173879999999999,1.1102230246251565e-16,170.0,203.82999999999998,-33.83,119.9388234484841,101.83180876568208,143.80885022308644,33.833089510000036,49.29813767000003
126,PAYC_1,PAYC,Inactive,1,12/16/2021,4/12/2022,1,0.179928,0.179928,0.0,75.0,58.56,16.439999999999998,416.83,416.83,325.46,-16.440021360000003,-16.440021360000003
127,PBTS_1,PBTS,Inactive,1,6/29/2021,7/1/2021,2,15.0,15.0,0.0,31.650000000000002,33.660000000000004,-2.01,2.113333333333333,1.7280000000000002,2.243333333333333,1.950000000000005,1.950000000000005
128,PCOR_1,PCOR,Inactive,1,7/7/2021,10/27/2021,1,1.0,1.0,0.0,91.15,93.12,-1.9699999999999918,91.15,87.70051567546349,93.1233381,1.9733380999999925,1.9733380999999925
129,PCOR_2,PCOR,Inactive,2,11/22/2021,3/31/2022,1,1.136381,1.136381,0.0,100.0,66.06,33.94,88.0,88.0,58.13,-33.94370047,-31.97036237000001
130,PI_1,PI,Inactive,1,7/27/2021,11/11/2021,3,1.806091,1.806091,0.0,95.0,136.21,-41.21000000000001,52.60322338686146,52.5997859465553,75.42,41.20917489,41.20917489
131,PI_2,PI,Inactive,2,11/24/2021,4/11/2022,5,4.482993,4.4829930000000004,-4.440892098500626e-16,355.0,256.97,98.03,79.18853386788695,89.8592948107385,57.32179089728669,-98.0284556700001,-56.8192807800001
132,PINS_1,PINS,Inactive,1,8/5/2021,12/15/2021,5,7.543198,7.543198,0.0,426.12,345.68,80.44,56.49159284298251,53.03092667323766,45.82952553280452,-80.42608481000002,-80.42608481000002
133,PLTR_1,PLTR,Inactive,1,8/9/2021,12/6/2021,8,14.068869,14.068869,0.0,348.04,265.13,82.91000000000003,24.74029185928165,24.73830696696373,18.849999999999998,-82.86974453999996,-82.86974453999996
134,POWW_1,POWW,Inactive,1,6/30/2021,7/1/2021,1,4.926108,4.926108,0.0,50.0,47.24,2.759999999999998,10.15,10.15,9.59,-2.7586204800000025,-2.7586204800000025
135,PUBM_1,PUBM,Inactive,1,7/8/2021,7/9/2021,1,1.0,1.0,0.0,34.25,34.99,-0.740000000000002,34.25,34.25,34.99,0.740000000000002,0.740000000000002
136,PUBM_2,PUBM,Inactive,2,11/4/2021,11/11/2021,1,3.733432,3.733432,0.0,100.0,140.64,-40.64,26.79,0.0,37.66846699230092,40.61401678000001,41.35401678000001
137,PUBM_3,PUBM,Inactive,3,11/24/2021,3/21/2022,4,2.480267,2.480267,0.0,100.0,67.97,32.03,40.318247797515355,90.40804385893681,27.405087129732404,-32.02808627000002,9.325930509999992
138,PXD_1,PXD,Inactive,1,4/25/2022,5/18/2022,1,1.0,1.0,0.0,230.99,268.51,-37.51999999999998,230.99,230.99,268.51,37.51999999999998,37.51999999999998
139,PYPL_1,PYPL,Inactive,1,7/26/2018,11/5/2021,1,1.0,1.0,0.0,88.51,225.23,-136.71999999999997,88.51,88.51,225.23,136.71999999999997,136.71999999999997
140,PYPL_2,PYPL,Inactive,2,11/9/2021,2/24/2022,5,2.794847,2.794847,0.0,568.6,372.33000000000004,196.27,203.44631303967623,211.89109255867493,133.22026731695868,-196.27105320999996,-59.55105320999999
141,QLD_1,QLD,Inactive,1,12/20/2021,12/28/2021,1,0.308908,0.308908,0.0,25.0,28.22,-3.219999999999999,80.93,80.93,91.35,3.218821359999996,3.218821359999996
142,QQQ_1,QQQ,Inactive,1,12/20/2021,1/13/2022,1,0.105547,0.105547,0.0,40.0,40.3,-0.29999999999999716,378.98,378.98,381.82,0.29975347999999735,0.29975347999999735
143,QRVO_1,QRVO,Inactive,1,6/29/2021,12/17/2021,2,0.724132,0.724132,0.0,125.0,107.03,17.97,172.6199077516254,172.62046146282722,147.8,-17.97288943999999,-17.97288943999999
144,RBLX_1,RBLX,Inactive,1,5/25/2021,3/21/2022,6,4.040798,4.040798,-1.1102230246251565e-16,347.71,329.18,18.529999999999994,88.1058715043205,82.22418973249924,81.46501732578567,-18.526132419999982,-18.526132419999982
145,RCON_1,RCON,Inactive,1,7/13/2021,8/3/2021,2,18.15944,18.15944,0.0,69.8,61.87,7.929999999999993,3.844054221936359,11.259999999999993,3.409219432978109,-7.896356259999996,-7.896356259999996
146,REGN_1,REGN,Inactive,1,4/12/2022,5/10/2022,1,0.209282,0.209282,0.0,150.0,128.78,21.22,716.74,716.74,615.34,-21.221194799999996,-21.221194799999996
147,RH_1,RH,Inactive,1,7/16/2021,11/19/2021,4,0.35204900000000006,0.352049,5.551115123125783e-17,234.0,228.84,5.159999999999997,663.5880899638009,663.4073176711518,650.0214172742998,-5.16019823999999,-5.16019823999999
148,RJF_1,RJF,Inactive,1,4/18/2022,4/26/2022,1,1.0,1.0,0.0,110.67,102.07,8.600000000000009,110.67,110.67,102.07,-8.600000000000009,-8.600000000000009
149,RKT_1,RKT,Inactive,1,3/3/2021,12/6/2021,3,4.034393,4.034393,0.0,131.01,64.85,66.16,32.474565720295466,32.47328656380278,16.07,-66.18246510999998,-66.18246510999998
150,ROKU_1,ROKU,Inactive,1,8/26/2021,12/6/2021,8,0.8690439999999999,0.869044,-1.1102230246251565e-16,289.0,181.15,107.85,332.54988506911053,332.54933006844306,208.45,-107.84826052000011,-107.84826052000011
151,RTX_1,RTX,Inactive,1,4/18/2022,4/26/2022,1,1.0,1.0,0.0,104.21,97.07,7.140000000000001,104.21,104.21,97.07,-7.140000000000001,-7.140000000000001
