,symbol,stock,side,qty,cost basis,amount,fee,created date,date,current_status,batch_number,batch_dateopen,batch_dateclosed,batch_lot,qty_buys,qty_sells,qty_net,amount_buys,amount_sells,amount_net,CB_batch,CB_effective,SB_avg,p&l_batch,p&l_ticker,p&l ticker,p&l_line
815,AMZN,Amazon,buy,0.111016,3152.7,350.0,0.0,4/7/2022,4/7/2022,Active,1.0,5/25/2021,n/a,6.0,0.223748,0.067299,0.156449,720.0,230.0,490.0,3191.948034403546,3132.011070700356,3417.5817882880874,9.37684687440031,,9.37684687440031,0.0
816,GOOG,Alphabet Class C,buy,0.146543,2729.57,400.0,0.0,4/7/2022,4/7/2022,Active,1.0,10/21/2021,n/a,2.0,0.164124,0.0,0.164124,450.0,0.0,450.0,2741.8256250761624,2741.829348541347,0.0,0.0,,0.0,0.0
817,MSFT,Microsoft,buy,0.663878,301.26,200.0,0.0,4/7/2022,4/7/2022,Active,1.0,11/1/2021,n/a,4.0,1.26382,0.296757,0.967063,400.37,100.0,300.37,311.52031030311366,310.6002401084521,336.98,0.8897485226599923,,0.8897485226599923,0.0
818,SE,Sea Limited,sell,2.373747,110.6,262.53,0.0,4/11/2022,4/11/2022,Inactive,2.0,4/4/2022,4/11/2022,3.0,2.373747,2.373747,0.0,310.5,262.53,47.97000000000003,130.8057992953756,130.8058525192449,110.6,-47.96345545999997,,-47.36507518999998,-47.96345545999997
819,ETSY,Etsy,sell,0.846754,114.09,96.61,0.0,4/11/2022,4/11/2022,Inactive,1.0,5/25/2021,4/11/2022,6.0,1.0843729999999998,1.084373,-2.220446049250313e-16,234.0,131.61,102.39,215.79349376091074,235.01512836077544,121.36512654778383,-102.39557184000006,,-102.39557184000006,-86.1178401560262
820,TDOC,Teladoc Health,sell,0.5188,64.13,33.27,0.0,4/11/2022,4/11/2022,Inactive,1.0,7/26/2018,4/11/2022,2.0,1.165947,1.165947,0.0,91.55,95.27000000000001,-3.720000000000006,78.5197916800678,56.958365458750954,81.71366114411718,3.7238825199999903,,3.7238825199999903,-7.465423923619176
821,MITK,Mitek,sell,3.704208,13.38,49.57,0.0,4/11/2022,4/11/2022,Inactive,1.0,7/26/2018,4/11/2022,4.0,10.585453000000001,10.585453,8.881784197001252e-16,155.97,162.57,-6.600000000000001,14.735584866325512,11.600320500360668,15.355610656435772,6.56325386000001,,6.56325386000001,-5.0213683065218895
822,SQ,Block,sell,1.0,119.68,119.68,0.0,4/11/2022,4/11/2022,Inactive,1.0,7/26/2018,4/11/2022,1.0,1.0,1.0,0.0,71.02,119.68,-48.66000000000001,71.02,71.02,119.68,48.66000000000001,,48.66000000000001,48.66000000000001
823,U,Unity Software,sell,0.632689,87.45,55.33,0.0,4/11/2022,4/11/2022,Inactive,1.0,11/9/2021,4/11/2022,3.0,0.9256599999999999,0.9256599999999999,0.0,150.0,105.33,44.67,158.19096211013505,158.055537554786,113.78909493766609,-44.66901189000001,,-44.66901189000001,-44.75702857649922
824,PI,Impinj,sell,2.482993,50.38,125.09,0.0,4/11/2022,4/11/2022,Inactive,2.0,11/24/2021,4/11/2022,5.0,4.482993,4.4829930000000004,-4.440892098500626e-16,355.0,256.97,98.03,79.18853386788695,89.8592948107385,57.32179089728669,-98.0284556700001,,-56.8192807800001,-71.5313879342262
825,AXON,Axon,sell,1.076385,125.26,134.83,0.0,4/11/2022,4/11/2022,Inactive,2.0,12/13/2021,4/11/2022,4.0,1.0763850000000001,1.076385,2.220446049250313e-16,155.0,134.83,20.169999999999987,143.9996360874594,144.00052025994415,125.26000000000002,-20.171063189999987,,-14.318836839999989,-20.171063189999987
